╔═══════════════════════════════════════════════════════╗
║   NodeFlux Multi-Node MySQL Monitor                   ║
║   Auto-discovers and monitors all MySQL containers    ║
╚═══════════════════════════════════════════════════════╝
InfluxDB: http://127.0.0.1:8086 | Org: capstone | Bucket: metrics
Poll: 1s | Discovery: 10s

[capstone_mysql_1] CPU: 1.4% | Mem: 10.3% | Disk R/W: 3084.8/0.0 KB/s | Net R/W: 3.7/0.0 KB/s
[capstone_mysql_2] CPU: 1.4% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.4% | Mem: 10.3% | Disk R/W: 4096.4/0.0 KB/s | Net R/W: 5.8/6.2 KB/s
[capstone_mysql_2] CPU: 1.1% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.1% | Mem: 10.3% | Disk R/W: 0.0/127736.8 KB/s | Net R/W: 0.0/6.6 KB/s
[capstone_mysql_1] CPU: 1.2% | Mem: 10.3% | Disk R/W: 4498.1/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.4% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/7.1 KB/s
[capstone_mysql_1] CPU: 1.0% | Mem: 10.3% | Disk R/W: 0.0/123585.0 KB/s | Net R/W: 6.7/7.4 KB/s
[capstone_mysql_2] CPU: 1.1% | Mem: 10.3% | Disk R/W: 0.0/123650.0 KB/s | Net R/W: 0.0/0.5 KB/s
[capstone_mysql_2] CPU: 0.9% | Mem: 10.3% | Disk R/W: 4208.6/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.0% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.5 KB/s
[capstone_mysql_2] CPU: 1.4% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 7.5/8.5 KB/s
[capstone_mysql_1] CPU: 1.4% | Mem: 10.3% | Disk R/W: 0.0/126541.2 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.3% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/115858.2 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 8.7/0.0 KB/s
[capstone_mysql_1] CPU: 1.1% | Mem: 10.3% | Disk R/W: 2943.7/82810.7 KB/s | Net R/W: 5.4/6.2 KB/s
[capstone_mysql_1] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.1% | Mem: 10.3% | Disk R/W: 4480.4/126041.6 KB/s | Net R/W: 0.0/0.0 KB/s
